Ndex,Pokémon,English,French
001,Bulbasaur,Bulbasaur,Bulbizarre
002,Ivysaur,Ivysaur,Herbizarre
003,Venusaur,Venusaur,Florizarre
004,Charmander,Charmander,Salameche
005,Charmeleon,Charmeleon,Reptincel
006,Charizard,Charizard,Dracaufeu
007,Squirtle,Squirtle,Carapuce
008,Wartortle,Wartortle,Carabaffe
009,Blastoise,Blastoise,Tortank
010,Caterpie,Caterpie,Chenipan
011,Metapod,Metapod,Chrysacier
012,Butterfree,Butterfree,Papilusion
013,Weedle,Weedle,Aspicot
014,Kakuna,Kakuna,Coconfort
015,Beedrill,Beedrill,Dardargnan
016,Pidgey,Pidgey,Roucool
017,Pidgeotto,Pidgeotto,Roucoups
018,Pidgeot,Pidgeot,Roucarnage
019,Rattata,Rattata,Rattata
020,Raticate,Raticate,Rattatac
021,Spearow,Spearow,Piafabec
022,Fearow,Fearow,Rapasdepic
023,Ekans,Ekans,Abo
024,Arbok,Arbok,Arbok
025,Pikachu,Pikachu,Pikachu
026,Raichu,Raichu,Raichu
027,Sandshrew,Sandshrew,Sabelette
028,Sandslash,Sandslash,Sablaireau
029,Nidoran♀,Nidoran♀,Nidoran♀
030,Nidorina,Nidorina,Nidorina
031,Nidoqueen,Nidoqueen,Nidoqueen
032,Nidoran♂,Nidoran♂,Nidoran♂
033,Nidorino,Nidorino,Nidorino
034,Nidoking,Nidoking,Nidoking
035,Clefairy,Clefairy,Melofee
036,Clefable,Clefable,Melodelfe
037,Vulpix,Vulpix,Goupix
038,Ninetales,Ninetales,Feunard
039,Jigglypuff,Jigglypuff,Rondoudou
040,Wigglytuff,Wigglytuff,Grodoudou
041,Zubat,Zubat,Nosferapti
042,Golbat,Golbat,Nosferalto
043,Oddish,Oddish,Mystherbe
044,Gloom,Gloom,Ortide
045,Vileplume,Vileplume,Rafflesia
046,Paras,Paras,Paras
047,Parasect,Parasect,Parasect
048,Venonat,Venonat,Mimitoss
049,Venomoth,Venomoth,Aeromite
050,Diglett,Diglett,Taupiqueur
051,Dugtrio,Dugtrio,Triopikeur
052,Meowth,Meowth,Miaouss
053,Persian,Persian,Persian
054,Psyduck,Psyduck,Psykokwak
055,Golduck,Golduck,Akwakwak
056,Mankey,Mankey,Ferosinge
057,Primeape,Primeape,Colossinge
058,Growlithe,Growlithe,Caninos
059,Arcanine,Arcanine,Arcanin
060,Poliwag,Poliwag,Ptitard
061,Poliwhirl,Poliwhirl,Tetarte
062,Poliwrath,Poliwrath,Tartard
063,Abra,Abra,Abra
064,Kadabra,Kadabra,Kadabra
065,Alakazam,Alakazam,Alakazam
066,Machop,Machop,Machoc
067,Machoke,Machoke,Machopeur
068,Machamp,Machamp,Mackogneur
069,Bellsprout,Bellsprout,Chetiflor
070,Weepinbell,Weepinbell,Boustiflor
071,Victreebel,Victreebel,Empiflor
072,Tentacool,Tentacool,Tentacool
073,Tentacruel,Tentacruel,Tentacruel
074,Geodude,Geodude,Racaillou
075,Graveler,Graveler,Gravalanch
076,Golem,Golem,Grolem
077,Ponyta,Ponyta,Ponyta
078,Rapidash,Rapidash,Galopa
079,Slowpoke,Slowpoke,Ramoloss
080,Slowbro,Slowbro,Flagadoss
081,Magnemite,Magnemite,Magneti
082,Magneton,Magneton,Magneton
083,Farfetch'd,Farfetch'd,Canarticho
084,Doduo,Doduo,Doduo
085,Dodrio,Dodrio,Dodrio
086,Seel,Seel,Otaria
087,Dewgong,Dewgong,Lamantine
088,Grimer,Grimer,Tadmorv
089,Muk,Muk,Grotadmorv
090,Shellder,Shellder,Kokiyas
091,Cloyster,Cloyster,Crustabri
092,Gastly,Gastly,Fantominus
093,Haunter,Haunter,Spectrum
094,Gengar,Gengar,Ectoplasma
095,Onix,Onix,Onix
096,Drowzee,Drowzee,Soporifik
097,Hypno,Hypno,Hypnomade
098,Krabby,Krabby,Krabby
099,Kingler,Kingler,Krabboss
100,Voltorb,Voltorb,Voltorbe
101,Electrode,Electrode,Electrode
102,Exeggcute,Exeggcute,Noeunoeuf
103,Exeggutor,Exeggutor,Noadkoko
104,Cubone,Cubone,Osselait
105,Marowak,Marowak,Ossatueur
106,Hitmonlee,Hitmonlee,Kicklee
107,Hitmonchan,Hitmonchan,Tygnon
108,Lickitung,Lickitung,Excelangue
109,Koffing,Koffing,Smogo
110,Weezing,Weezing,Smogogo
111,Rhyhorn,Rhyhorn,Rhinocorne
112,Rhydon,Rhydon,Rhinoferos
113,Chansey,Chansey,Leveinard
114,Tangela,Tangela,Saquedeneu
115,Kangaskhan,Kangaskhan,Kangourex
116,Horsea,Horsea,Hypotrempe
117,Seadra,Seadra,Hypocean
118,Goldeen,Goldeen,Poissirene
119,Seaking,Seaking,Poissoroy
120,Staryu,Staryu,Stari
121,Starmie,Starmie,Staross
122,Mr. Mime,Mr. Mime,M. Mime
123,Scyther,Scyther,Insecateur
124,Jynx,Jynx,Lippoutou
125,Electabuzz,Electabuzz,Elektek
126,Magmar,Magmar,Magmar
127,Pinsir,Pinsir,Scarabrute
128,Tauros,Tauros,Tauros
129,Magikarp,Magikarp,Magicarpe
130,Gyarados,Gyarados,Leviator
131,Lapras,Lapras,Lokhlass
132,Ditto,Ditto,Metamorph
133,Eevee,Eevee,Evoli
134,Vaporeon,Vaporeon,Aquali
135,Jolteon,Jolteon,Voltali
136,Flareon,Flareon,Pyroli
137,Porygon,Porygon,Porygon
138,Omanyte,Omanyte,Amonita
139,Omastar,Omastar,Amonistar
140,Kabuto,Kabuto,Kabuto
141,Kabutops,Kabutops,Kabutops
142,Aerodactyl,Aerodactyl,Ptera
143,Snorlax,Snorlax,Ronflex
144,Articuno,Articuno,Artikodin
145,Zapdos,Zapdos,Electhor
146,Moltres,Moltres,Sulfura
147,Dratini,Dratini,Minidraco
148,Dragonair,Dragonair,Draco
149,Dragonite,Dragonite,Dracolosse
150,Mewtwo,Mewtwo,Mewtwo
151,Mew,Mew,Mew
152,Chikorita,Chikorita,Germignon
153,Bayleef,Bayleef,Macronium
154,Meganium,Meganium,Meganium
155,Cyndaquil,Cyndaquil,Hericendre
156,Quilava,Quilava,Feurisson
157,Typhlosion,Typhlosion,Typhlosion
158,Totodile,Totodile,Kaiminus
159,Croconaw,Croconaw,Crocrodil
160,Feraligatr,Feraligatr,Aligatueur
161,Sentret,Sentret,Fouinette
162,Furret,Furret,Fouinar
163,Hoothoot,Hoothoot,Hoothoot
164,Noctowl,Noctowl,Noarfang
165,Ledyba,Ledyba,Coxy
166,Ledian,Ledian,Coxyclaque
167,Spinarak,Spinarak,Mimigal
168,Ariados,Ariados,Migalos
169,Crobat,Crobat,Nostenfer
170,Chinchou,Chinchou,Loupio
171,Lanturn,Lanturn,Lanturn
172,Pichu,Pichu,Pichu
173,Cleffa,Cleffa,Melo
174,Igglybuff,Igglybuff,Toudoudou
175,Togepi,Togepi,Togepi
176,Togetic,Togetic,Togetic
177,Natu,Natu,Natu
178,Xatu,Xatu,Xatu
179,Mareep,Mareep,Wattouat
180,Flaaffy,Flaaffy,Lainergie
181,Ampharos,Ampharos,Pharamp
182,Bellossom,Bellossom,Joliflor
183,Marill,Marill,Marill
184,Azumarill,Azumarill,Azumarill
185,Sudowoodo,Sudowoodo,Simularbre
186,Politoed,Politoed,Tarpaud
187,Hoppip,Hoppip,Granivol
188,Skiploom,Skiploom,Floravol
189,Jumpluff,Jumpluff,Cotovol
190,Aipom,Aipom,Capumain
191,Sunkern,Sunkern,Tournegrin
192,Sunflora,Sunflora,Heliatronc
193,Yanma,Yanma,Yanma
194,Wooper,Wooper,Axoloto
195,Quagsire,Quagsire,Maraiste
196,Espeon,Espeon,Mentali
197,Umbreon,Umbreon,Noctali
198,Murkrow,Murkrow,Cornebre
199,Slowking,Slowking,Roigada
200,Misdreavus,Misdreavus,Feuforeve
201,Unown,Unown,Zarbi
202,Wobbuffet,Wobbuffet,Qulbutoke
203,Girafarig,Girafarig,Girafarig
204,Pineco,Pineco,Pomdepik
205,Forretress,Forretress,Foretress
206,Dunsparce,Dunsparce,Insolourdo
207,Gligar,Gligar,Scorplane
208,Steelix,Steelix,Steelix
209,Snubbull,Snubbull,Snubbull
210,Granbull,Granbull,Granbull
211,Qwilfish,Qwilfish,Qwilfish
212,Scizor,Scizor,Cizayox
213,Shuckle,Shuckle,Caratroc
214,Heracross,Heracross,Scarhino
215,Sneasel,Sneasel,Farfuret
216,Teddiursa,Teddiursa,Teddiursa
217,Ursaring,Ursaring,Ursaring
218,Slugma,Slugma,Limagma
219,Magcargo,Magcargo,Volcaropod
220,Swinub,Swinub,Marcacrin
221,Piloswine,Piloswine,Cochignon
222,Corsola,Corsola,Corayon
223,Remoraid,Remoraid,Remoraid
224,Octillery,Octillery,Octillery
225,Delibird,Delibird,Cadoizo
226,Mantine,Mantine,Demanta
227,Skarmory,Skarmory,Airmure
228,Houndour,Houndour,Malosse
229,Houndoom,Houndoom,Demolosse
230,Kingdra,Kingdra,Hyporoi
231,Phanpy,Phanpy,Phanpy
232,Donphan,Donphan,Donphan
233,Porygon2,Porygon2,Porygon2
234,Stantler,Stantler,Cerfrousse
235,Smeargle,Smeargle,Queulorior
236,Tyrogue,Tyrogue,Debugant
237,Hitmontop,Hitmontop,Kapoera
238,Smoochum,Smoochum,Lippouti
239,Elekid,Elekid,Elekid
240,Magby,Magby,Magby
241,Miltank,Miltank,Ecremeuh
242,Blissey,Blissey,Leuphorie
243,Raikou,Raikou,Raikou
244,Entei,Entei,Entei
245,Suicune,Suicune,Suicune
246,Larvitar,Larvitar,Embrylex
247,Pupitar,Pupitar,Ymphect
248,Tyranitar,Tyranitar,Tyranocif
249,Lugia,Lugia,Lugia
250,Ho-Oh,Ho-Oh,Ho-Oh
251,Celebi,Celebi,Celebi
252,Treecko,Treecko,Arcko
253,Grovyle,Grovyle,Massko
254,Sceptile,Sceptile,Jungko
255,Torchic,Torchic,Poussifeu
256,Combusken,Combusken,Galifeu
257,Blaziken,Blaziken,Brasegali
258,Mudkip,Mudkip,Gobou
259,Marshtomp,Marshtomp,Flobio
260,Swampert,Swampert,Laggron
261,Poochyena,Poochyena,Medhyena
262,Mightyena,Mightyena,Grahyena
263,Zigzagoon,Zigzagoon,Zigzaton
264,Linoone,Linoone,Lineon
265,Wurmple,Wurmple,Chenipotte
266,Silcoon,Silcoon,Armulys
267,Beautifly,Beautifly,Charmillon
268,Cascoon,Cascoon,Blindalys
269,Dustox,Dustox,Papinox
270,Lotad,Lotad,Nenupiot
271,Lombre,Lombre,Lombre
272,Ludicolo,Ludicolo,Ludicolo
273,Seedot,Seedot,Grainipiot
274,Nuzleaf,Nuzleaf,Pifeuil
275,Shiftry,Shiftry,Tengalice
276,Taillow,Taillow,Nirondelle
277,Swellow,Swellow,Heledelle
278,Wingull,Wingull,Goelise
279,Pelipper,Pelipper,Bekipan
280,Ralts,Ralts,Tarsal
281,Kirlia,Kirlia,Kirlia
282,Gardevoir,Gardevoir,Gardevoir
283,Surskit,Surskit,Arakdo
284,Masquerain,Masquerain,Maskadra
285,Shroomish,Shroomish,Balignon
286,Breloom,Breloom,Chapignon
287,Slakoth,Slakoth,Parecool
288,Vigoroth,Vigoroth,Vigoroth
289,Slaking,Slaking,Monaflemit
290,Nincada,Nincada,Ningale
291,Ninjask,Ninjask,Ninjask
292,Shedinja,Shedinja,Munja
293,Whismur,Whismur,Chuchmur
294,Loudred,Loudred,Ramboum
295,Exploud,Exploud,Brouhabam
296,Makuhita,Makuhita,Makuhita
297,Hariyama,Hariyama,Hariyama
298,Azurill,Azurill,Azurill
299,Nosepass,Nosepass,Tarinor
300,Skitty,Skitty,Skitty
301,Delcatty,Delcatty,Delcatty
302,Sableye,Sableye,Tenefix
303,Mawile,Mawile,Mysdibule
304,Aron,Aron,Galekid
305,Lairon,Lairon,Galegon
306,Aggron,Aggron,Galeking
307,Meditite,Meditite,Meditikka
308,Medicham,Medicham,Charmina
309,Electrike,Electrike,Dynavolt
310,Manectric,Manectric,Elecsprint
311,Plusle,Plusle,Posipi
312,Minun,Minun,Negapi
313,Volbeat,Volbeat,Muciole
314,Illumise,Illumise,Lumivole
315,Roselia,Roselia,Roselia
316,Gulpin,Gulpin,Gloupti
317,Swalot,Swalot,Avaltout
318,Carvanha,Carvanha,Carvanha
319,Sharpedo,Sharpedo,Sharpedo
320,Wailmer,Wailmer,Wailmer
321,Wailord,Wailord,Wailord
322,Numel,Numel,Chamallot
323,Camerupt,Camerupt,Camerupt
324,Torkoal,Torkoal,Chartor
325,Spoink,Spoink,Spoink
326,Grumpig,Grumpig,Groret
327,Spinda,Spinda,Spinda
328,Trapinch,Trapinch,Kraknoix
329,Vibrava,Vibrava,Vibraninf
330,Flygon,Flygon,Libegon
331,Cacnea,Cacnea,Cacnea
332,Cacturne,Cacturne,Cacturne
333,Swablu,Swablu,Tylton
334,Altaria,Altaria,Altaria
335,Zangoose,Zangoose,Mangriff
336,Seviper,Seviper,Seviper
337,Lunatone,Lunatone,Seleroc
338,Solrock,Solrock,Solaroc
339,Barboach,Barboach,Barloche
340,Whiscash,Whiscash,Barbicha
341,Corphish,Corphish,Ecrapince
342,Crawdaunt,Crawdaunt,Colhomard
343,Baltoy,Baltoy,Balbuto
344,Claydol,Claydol,Kaorine
345,Lileep,Lileep,Lilia
346,Cradily,Cradily,Vacilys
347,Anorith,Anorith,Anorith
348,Armaldo,Armaldo,Armaldo
349,Feebas,Feebas,Barpau
350,Milotic,Milotic,Milobellus
351,Castform,Castform,Morpheo
352,Kecleon,Kecleon,Kecleon
353,Shuppet,Shuppet,Polichombr
354,Banette,Banette,Branette
355,Duskull,Duskull,Skelenox
356,Dusclops,Dusclops,Teraclope
357,Tropius,Tropius,Tropius
358,Chimecho,Chimecho,Eoko
359,Absol,Absol,Absol
360,Wynaut,Wynaut,Okeoke
361,Snorunt,Snorunt,Stalgamin
362,Glalie,Glalie,Oniglali
363,Spheal,Spheal,Obalie
364,Sealeo,Sealeo,Phogleur
365,Walrein,Walrein,Kaimorse
366,Clamperl,Clamperl,Coquiperl
367,Huntail,Huntail,Serpang
368,Gorebyss,Gorebyss,Rosabyss
369,Relicanth,Relicanth,Relicanth
370,Luvdisc,Luvdisc,Lovdisc
371,Bagon,Bagon,Draby
372,Shelgon,Shelgon,Drackhaus
373,Salamence,Salamence,Drattak
374,Beldum,Beldum,Terhal
375,Metang,Metang,Metang
376,Metagross,Metagross,Metalosse
377,Regirock,Regirock,Regirock
378,Regice,Regice,Regice
379,Registeel,Registeel,Registeel
380,Latias,Latias,Latias
381,Latios,Latios,Latios
382,Kyogre,Kyogre,Kyogre
383,Groudon,Groudon,Groudon
384,Rayquaza,Rayquaza,Rayquaza
385,Jirachi,Jirachi,Jirachi
386,Deoxys,Deoxys,Deoxys
387,Turtwig,Turtwig,Tortipouss
388,Grotle,Grotle,Boskara
389,Torterra,Torterra,Torterra
390,Chimchar,Chimchar,Ouisticram
391,Monferno,Monferno,Chimpenfeu
392,Infernape,Infernape,Simiabraz
393,Piplup,Piplup,Tiplouf
394,Prinplup,Prinplup,Prinplouf
395,Empoleon,Empoleon,Pingoleon
396,Starly,Starly,Etourmi
397,Staravia,Staravia,Etourvol
398,Staraptor,Staraptor,Etouraptor
399,Bidoof,Bidoof,Keunotor
400,Bibarel,Bibarel,Castorno
401,Kricketot,Kricketot,Crikzik
402,Kricketune,Kricketune,Melokrik
403,Shinx,Shinx,Lixy
404,Luxio,Luxio,Luxio
405,Luxray,Luxray,Luxray
406,Budew,Budew,Rozbouton
407,Roserade,Roserade,Roserade
408,Cranidos,Cranidos,Kranidos
409,Rampardos,Rampardos,Charkos
410,Shieldon,Shieldon,Dinoclier
411,Bastiodon,Bastiodon,Bastiodon
412,Burmy,Burmy,Cheniti
413,Wormadam,Wormadam,Cheniselle
414,Mothim,Mothim,Papilord
415,Combee,Combee,Apitrini
416,Vespiquen,Vespiquen,Apireine
417,Pachirisu,Pachirisu,Pachirisu
418,Buizel,Buizel,Mustebouee
419,Floatzel,Floatzel,Musteflott
420,Cherubi,Cherubi,Ceribou
421,Cherrim,Cherrim,Ceriflor
422,Shellos,Shellos,Sancoki
423,Gastrodon,Gastrodon,Tritosor
424,Ambipom,Ambipom,Capidextre
425,Drifloon,Drifloon,Baudrive
426,Drifblim,Drifblim,Grodrive
427,Buneary,Buneary,Laporeille
428,Lopunny,Lopunny,Lockpin
429,Mismagius,Mismagius,Magireve
430,Honchkrow,Honchkrow,Corboss
431,Glameow,Glameow,Chaglam
432,Purugly,Purugly,Chaffreux
433,Chingling,Chingling,Korillon
434,Stunky,Stunky,Moufouette
435,Skuntank,Skuntank,Moufflair
436,Bronzor,Bronzor,Archeomire
437,Bronzong,Bronzong,Archeodong
438,Bonsly,Bonsly,Manzai
439,Mime Jr.,Mime Jr.,Mime Jr.
440,Happiny,Happiny,Ptiravi
441,Chatot,Chatot,Pijako
442,Spiritomb,Spiritomb,Spiritomb
443,Gible,Gible,Griknot
444,Gabite,Gabite,Carmache
445,Garchomp,Garchomp,Carchacrok
446,Munchlax,Munchlax,Goinfrex
447,Riolu,Riolu,Riolu
448,Lucario,Lucario,Lucario
449,Hippopotas,Hippopotas,Hippopotas
450,Hippowdon,Hippowdon,Hippodocus
451,Skorupi,Skorupi,Rapion
452,Drapion,Drapion,Drascore
453,Croagunk,Croagunk,Cradopaud
454,Toxicroak,Toxicroak,Coatox
455,Carnivine,Carnivine,Vortente
456,Finneon,Finneon,Ecayon
457,Lumineon,Lumineon,Lumineon
458,Mantyke,Mantyke,Babimanta
459,Snover,Snover,Blizzi
460,Abomasnow,Abomasnow,Blizzaroi
461,Weavile,Weavile,Dimoret
